review,rating,date,bank,source,sentiment_label,sentiment_score,nouns,identified_theme,noun_text
I love this app b/c every option in the app very clear and supportive.,5,2025-10-30,CBE,Google Play,POSITIVE,0.37666666666666665,"['app', 'b', 'c', 'option', 'app']",User Interface & Experience,app b c option app
niiceh,5,2025-10-29,CBE,Google Play,NEUTRAL,0.0,['niiceh'],Other,niiceh
the app is good but their is no dark mode you have to add it,3,2025-10-29,CBE,Google Play,POSITIVE,0.38749999999999996,"['app', 'mode']",User Interface & Experience,app mode
🤮,1,2025-10-28,CBE,Google Play,NEUTRAL,0.0,[],Other,
abdulakim abrahim elemoo,5,2025-10-28,CBE,Google Play,NEUTRAL,0.0,['abdulakim'],Other,abdulakim
strong,5,2025-10-28,CBE,Google Play,POSITIVE,0.4333333333333333,[],Other,
Abebaw Zenebe,5,2025-10-28,CBE,Google Play,NEUTRAL,0.0,"['abebaw', 'zenebe']",Other,abebaw zenebe
good I love it keep it up but if we had a new update that will be fire Soo good,5,2025-10-27,CBE,Google Play,POSITIVE,0.509090909090909,"['update', 'fire', 'soo']",Other,update fire soo
Cbe,5,2025-10-27,CBE,Google Play,NEUTRAL,0.0,['cbe'],Other,cbe
Active and granted system,5,2025-10-27,CBE,Google Play,NEGATIVE,-0.13333333333333333,['system'],Other,system
fast app,4,2025-10-26,CBE,Google Play,POSITIVE,0.2,['app'],User Interface & Experience,app
cool 😎,5,2025-10-26,CBE,Google Play,POSITIVE,0.35,['😎'],Other,😎
Galaxy A10s,3,2025-10-26,CBE,Google Play,NEUTRAL,0.0,"['galaxy', 'a10s']",Other,galaxy a10s
the best apps,5,2025-10-26,CBE,Google Play,POSITIVE,1.0,['app'],User Interface & Experience,app
arif app new,5,2025-10-26,CBE,Google Play,POSITIVE,0.13636363636363635,"['arif', 'app', 'new']",User Interface & Experience,arif app new
laga Bari biranch,5,2025-10-26,CBE,Google Play,NEUTRAL,0.0,"['laga', 'bari', 'biranch']",Other,laga bari biranch
